Date,CD,Ref.,Location,Appearance as...,Likely mv / notes
04/11/1054,6132,a.,Fustat,star,
04/11/1054,6132,b.,Flanders,bright disk at noon,~ -7
04/24/1054,6145,c.,Ireland,fiery pillar,
late April 1054,,d.,Rome,bright light,< -3.5
05/10/1054,6161,e.,Liao Kingdom,star,during Sun eclipse
05/14/1054,6165,f.,Armenia,star,
late May 1054(?),,g.,Italy,very bright star,
late May 1054,,h.,Japan,new star... as Jupiter,~ -4.5
June 1054,,h.,Japan,star,
~ 06/20/1054,,,Crab in conjunction with Sun,not visible,
07/04/1054 ? (*),6216 ?,i.,Song Empire,star... like Venus,~ -3.9
08/27/1054 ? (*),6270 ?,i.,Song Empire,star... like Venus,~ -3.9
1055,,a.,Constantinople,star,
04/17/1056,6869,i.,Song Empire,no more visible,> +6
